fraction,training_seed,validity_delta,unique_valid_yield_delta,strict_flp_yield_delta,final_candidate_yield_delta,validation_bpc_improvement
50,11,0.09266666666666667,0.08666666666666678,0.0426666666666667,0.016666666666666698,0.0187438489438565
50,22,-0.007333333333333303,0.0006666666666667043,-0.017333333333333298,-0.013333333333333402,0.0261122632263657
50,33,0.05066666666666658,0.04866666666666669,0.043999999999999984,0.017333333333333395,0.020396676297321892
50,44,0.03866666666666671,0.04200000000000004,0.029333333333333322,0.020666666666666667,0.005486351473942802
50,55,-0.01266666666666666,-0.011333333333333362,-0.0073333333333333445,0.0,0.02237191966650859
50,66,0.11533333333333337,0.10666666666666666,0.06733333333333331,0.029333333333333343,0.022151064311331292
100,11,0.0546666666666667,0.0546666666666667,0.043333333333333404,0.037333333333333295,0.014632474537833395
100,22,0.04333333333333331,0.04133333333333339,0.032666666666666705,0.011999999999999997,0.015787313812648696
100,33,0.042666666666666686,0.04333333333333339,0.04533333333333339,0.0333333333333333,0.010981928745966707
100,44,0.10733333333333334,0.10799999999999996,0.07,0.034666666666666665,0.0431136408120677
100,55,0.05933333333333338,0.05533333333333337,0.044,0.039999999999999994,0.02329954803635731
100,66,0.014000000000000012,0.008666666666666656,0.021999999999999992,0.009333333333333332,0.0044817645717667165
