family,fraction,training_seed,raw_n,validity,unique_valid_n,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_n,strict_flp_yield,novel_flp_n,novel_flp_yield,final_candidate_n,final_candidate_yield,novelty_vs_all_seed,novelty_vs_templates,novelty_vs_all_reference,stereo_novelty_vs_all_reference,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train
P0,50,11,500.0,0.2033333333333333,101.0,0.2019999999999999,0.7976152832674571,0.8721673254281951,32.666666666666664,0.0653333333333333,28.666666666666668,0.0573333333333333,14.666666666666666,0.0293333333333333,0.9565678524374176,1.0,0.9565678524374176,0.9565678524374176,0.0396442687747035,0.3726237391104559,0.8708775530329499,0.8389240753772773
P0,50,22,500.0,0.2526666666666666,122.33333333333331,0.2446666666666666,0.8428146876238278,0.8602235870793525,50.333333333333336,0.1006666666666666,37.0,0.074,21.0,0.042,0.8882813073276684,0.9914945919370698,0.8855035295498906,0.8855035295498906,0.107205858612542,0.4343236895409928,0.8680797018883611,0.7396881844250265
P0,50,33,500.0,0.276,135.33333333333334,0.2706666666666666,0.784072249589491,0.8578665693608222,53.333333333333336,0.1066666666666666,38.333333333333336,0.0766666666666666,27.33333333333333,0.0546666666666666,0.9043118652314056,0.9821747856230616,0.8864866508544669,0.8864866508544669,0.0861460803989539,0.4359743804426852,0.85350328306634,0.7283376123234917
P0,50,44,500.0,0.24866666666666667,120.0,0.24,0.8589156610013043,0.9059655463055853,46.333333333333336,0.09266666666666667,36.333333333333336,0.07266666666666667,20.0,0.04,0.9124364186775086,0.9971751412429378,0.9124364186775086,0.9124364186775086,0.06733939177045993,0.418124177183409,0.8696118744585601,0.723743979672029
P0,50,55,500.0,0.27466666666666667,135.66666666666666,0.27133333333333337,0.8096370500880946,0.8199359006628072,53.666666666666664,0.10733333333333334,40.0,0.08,21.666666666666668,0.043333333333333335,0.9009178622367648,0.9900340632603406,0.8958181055457674,0.8958181055457674,0.0819860726571021,0.43069361423870395,0.8660960587465584,0.7129514054245236
P0,50,66,500.0,0.23266666666666666,114.66666666666667,0.22933333333333336,0.8049893194995423,0.8342326624298471,39.0,0.078,31.0,0.062,19.0,0.038,0.9271205105411896,1.0,0.9271205105411896,0.9271205105411896,0.05820651621092109,0.4021112679735516,0.8622021266530497,0.7558348907088807
P5,50,11,500.0,0.296,144.33333333333334,0.2886666666666667,0.9102642447033542,0.901788492316646,54.0,0.108,46.66666666666666,0.0933333333333333,23.0,0.046,0.9543990419590594,0.990728491645122,0.9451275336041814,0.9451275336041814,0.0407380049021253,0.3989887523837154,0.8589555467720619,0.7324888398932985
P5,50,22,500.0,0.2453333333333333,122.66666666666669,0.2453333333333333,0.8983642998483797,0.8781486906689281,41.66666666666666,0.0833333333333333,38.66666666666666,0.0773333333333333,14.333333333333334,0.0286666666666666,0.9780805900341788,0.9948179271708684,0.9752794695859996,0.9752794695859996,0.0164803536093336,0.3570521100977332,0.8678374965896071,0.7999255672171847
P5,50,33,500.0,0.3266666666666666,159.66666666666666,0.3193333333333333,0.9085948134656864,0.8863047888873322,75.33333333333333,0.1506666666666666,57.66666666666666,0.1153333333333333,36.0,0.072,0.8904092529460296,0.9876226107020484,0.8801022570228193,0.8801022570228193,0.0868302571473542,0.4625606281519493,0.8580952650321154,0.6815128567150129
P5,50,44,500.0,0.2873333333333334,141.0,0.28200000000000003,0.9189585609414831,0.9138812220880532,61.0,0.122,52.333333333333336,0.10466666666666667,30.333333333333332,0.06066666666666667,0.9403863109271079,0.9975490196078431,0.9379353305349509,0.9379353305349509,0.05278736127882238,0.41853820862630164,0.8594447700900574,0.733925946774244
