family,fraction,training_seeds,raw_n_mean,raw_n_sd,validity_mean,validity_sd,unique_valid_n_mean,unique_valid_n_sd,unique_valid_yield_mean,unique_valid_yield_sd,chemically_sane_fraction_mean,chemically_sane_fraction_sd,neutral_fraction_mean,neutral_fraction_sd,strict_flp_n_mean,strict_flp_n_sd,strict_flp_yield_mean,strict_flp_yield_sd,novel_flp_n_mean,novel_flp_n_sd,novel_flp_yield_mean,novel_flp_yield_sd,final_candidate_n_mean,final_candidate_n_sd,final_candidate_yield_mean,final_candidate_yield_sd,novelty_vs_all_seed_mean,novelty_vs_all_seed_sd,novelty_vs_templates_mean,novelty_vs_templates_sd,novelty_vs_all_reference_mean,novelty_vs_all_reference_sd,stereo_novelty_vs_all_reference_mean,stereo_novelty_vs_all_reference_sd,near_duplicate_095_mean,near_duplicate_095_sd,mean_snn_to_train_mean,mean_snn_to_train_sd,internal_diversity_mean,internal_diversity_sd,scaffold_novelty_vs_train_mean,scaffold_novelty_vs_train_sd
P0,50,6,500.0,0.0,0.248,0.027377200571115954,121.49999999999999,13.129694927487419,0.243,0.026259389854974863,0.8163407085116196,0.02856286473755452,0.858398598544435,0.03006385735112546,45.88888888888889,8.463428952240909,0.09177777777777775,0.01692685790448181,35.22222222222222,4.42049100674809,0.07044444444444443,0.00884098201349618,20.61111111111111,4.117262664908791,0.04122222222222221,0.008234525329817572,0.9149393027419923,0.024115448754792587,0.993479763677235,0.006961308293256188,0.9106555112677067,0.02763734976631252,0.9106555112677067,0.02763734976631252,0.07342136473744709,0.023605248820312,0.4156418114149664,0.02461209049329931,0.8650617663076364,0.006426206178321141,0.7499133579885382,0.04599796002876612
P0,100,6,500.0,0.0,0.23455555555555552,0.02486377701411045,116.55555555555556,12.257726210511143,0.23311111111111113,0.02451545242102229,0.8276809461681972,0.03335666661194532,0.8640974293643972,0.02052633293782079,41.77777777777778,4.764063002973018,0.08355555555555554,0.009528126005946021,36.11111111111111,3.311036539055854,0.07222222222222219,0.006622073078111706,21.444444444444446,2.3158071946867604,0.042888888888888865,0.004631614389373518,0.9542277470680611,0.01888254706115787,0.9929488803578526,0.0043961049084638385,0.9485674897289669,0.020564034816878744,0.9485674897289669,0.020564034816878744,0.03724713091492456,0.016631499540883048,0.40436741750898264,0.01604577356594972,0.8609708502111787,0.0029771418767790356,0.804371291752271,0.015975213914768055
P5,50,6,500.0,0.0,0.2942222222222222,0.03853233370483471,144.27777777777777,17.211645497765183,0.28855555555555557,0.03442329099553039,0.9035041474798691,0.016891659241298717,0.8938421801929382,0.020288637201683907,59.111111111111114,13.144777867472133,0.11822222222222219,0.02628955573494425,48.77777777777777,7.464483807907853,0.09755555555555555,0.01492896761581571,26.5,8.24553751364269,0.05299999999999999,0.0164910750272854,0.9325542424421891,0.035285442665265204,0.9916486300358472,0.00509449389088429,0.9259569422338053,0.03793080105631495,0.9259569422338053,0.03793080105631495,0.056051039876617,0.03048253893814695,0.4154609125811393,0.03952152730135838,0.8617455013670466,0.004261285682397518,0.7275448159264126,0.04043911871524104
P5,100,6,500.0,0.0,0.2881111111111111,0.022656533682770603,142.5,11.971725950013312,0.285,0.02394345190002662,0.9142105720711483,0.013279136766659242,0.8920460008110664,0.016249046481549612,63.22222222222222,6.458987422074652,0.12644444444444444,0.012917974844149308,54.66666666666668,7.086763875156433,0.10933333333333332,0.014173527750312848,35.333333333333336,5.565768390597817,0.07066666666666663,0.011131536781195623,0.9464129848115084,0.015181315507476457,0.9853224759776519,0.006169673766423786,0.9332231699215608,0.018620516250802133,0.9332231699215608,0.018620516250802133,0.04509565650060998,0.01563152593437108,0.4349926414407617,0.014094079422403042,0.8509137527550941,0.00217240641799798,0.7654390724371893,0.012375214897661177
