family,fraction,training_seed,raw_n,validity,unique_valid_n,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_n,strict_flp_yield,novel_flp_n,novel_flp_yield,final_candidate_n,final_candidate_yield,novelty_vs_all_seed,novelty_vs_templates,novelty_vs_all_reference,stereo_novelty_vs_all_reference,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train
P0,25,11,500.0,0.16333333333333333,81.0,0.162,0.7319176455194211,0.8348959748769514,11.666666666666666,0.02333333333333333,10.666666666666666,0.021333333333333333,4.0,0.008,0.9872598162071847,1.0,0.9872598162071847,0.9872598162071847,0.012740183792815371,0.31271348481388545,0.8810445062053057,0.8978590785907858
P0,25,22,500.0,0.16066666666666665,80.33333333333333,0.16066666666666665,0.8537412591931961,0.8967324569907067,24.333333333333332,0.048666666666666664,24.333333333333332,0.048666666666666664,10.666666666666666,0.021333333333333333,1.0,1.0,1.0,1.0,0.0,0.33256599038951223,0.8603794650283265,0.8897527369550325
P0,25,33,500.0,0.15333333333333332,76.33333333333333,0.15266666666666664,0.6297021091541639,0.7522106254982966,13.0,0.026,12.666666666666666,0.025333333333333333,3.6666666666666665,0.007333333333333333,0.9954337899543378,1.0,0.9954337899543378,0.9954337899543378,0.0045662100456621,0.2882080017968312,0.8907911465085423,0.9248677248677248
P0,50,11,500.0,0.20333333333333334,101.0,0.20199999999999999,0.7976152832674571,0.8721673254281951,32.666666666666664,0.06533333333333334,28.666666666666668,0.05733333333333334,14.666666666666666,0.029333333333333333,0.9565678524374177,1.0,0.9565678524374177,0.9565678524374177,0.039644268774703555,0.3726237391104559,0.8708775530329499,0.8389240753772773
P0,50,22,500.0,0.25266666666666665,122.33333333333333,0.24466666666666667,0.8428146876238278,0.8602235870793525,50.333333333333336,0.10066666666666667,37.0,0.074,21.0,0.042,0.8882813073276684,0.9914945919370698,0.8855035295498906,0.8855035295498906,0.107205858612542,0.4343236895409928,0.8680797018883611,0.7396881844250265
P0,50,33,500.0,0.276,135.33333333333334,0.27066666666666667,0.784072249589491,0.8578665693608222,53.333333333333336,0.10666666666666667,38.333333333333336,0.07666666666666666,27.333333333333332,0.05466666666666667,0.9043118652314055,0.9821747856230615,0.8864866508544669,0.8864866508544669,0.08614608039895395,0.4359743804426852,0.85350328306634,0.7283376123234917
P0,100,11,500.0,0.25933333333333336,128.66666666666666,0.25733333333333336,0.8606316053522743,0.8936718442286576,42.333333333333336,0.08466666666666667,35.666666666666664,0.07133333333333333,20.666666666666668,0.04133333333333333,0.9532303101916336,0.9866028108022471,0.94263424144206,0.94263424144206,0.03121720015578894,0.40968687242973895,0.8609438103217126,0.79972314017026
P0,100,22,500.0,0.212,105.33333333333333,0.21066666666666667,0.865089470131487,0.8813303099017386,39.333333333333336,0.07866666666666666,35.0,0.06999999999999999,21.333333333333332,0.042666666666666665,0.9549193414739633,0.9932316360887791,0.9481509775627422,0.9481509775627422,0.045080658526036675,0.4099342009773251,0.8559958536035718,0.8159263705482193
P0,100,33,500.0,0.24933333333333332,123.0,0.246,0.7832515845819615,0.8480378059978947,48.333333333333336,0.09666666666666666,38.333333333333336,0.07666666666666667,23.666666666666668,0.04733333333333333,0.9213934466617394,0.99453515196309,0.9159285986248292,0.9159285986248292,0.06238831776747519,0.42485785613489063,0.8596153946940457,0.7777742921420825
P1,25,11,500.0,0.22866666666666666,111.33333333333333,0.22266666666666668,0.9421151716500553,0.9251125876707272,40.0,0.08,33.0,0.06599999999999999,16.0,0.032,0.9361978589885567,0.9940826873385014,0.9336138796603913,0.9336138796603913,0.06062753783684016,0.38058308867995055,0.8722028000373828,0.8240041786916787
