family,fraction,training_seeds,raw_n_mean,raw_n_sd,validity_mean,validity_sd,unique_valid_n_mean,unique_valid_n_sd,unique_valid_yield_mean,unique_valid_yield_sd,chemically_sane_fraction_mean,chemically_sane_fraction_sd,neutral_fraction_mean,neutral_fraction_sd,strict_flp_n_mean,strict_flp_n_sd,strict_flp_yield_mean,strict_flp_yield_sd,novel_flp_n_mean,novel_flp_n_sd,novel_flp_yield_mean,novel_flp_yield_sd,final_candidate_n_mean,final_candidate_n_sd,final_candidate_yield_mean,final_candidate_yield_sd,novelty_vs_all_seed_mean,novelty_vs_all_seed_sd,novelty_vs_templates_mean,novelty_vs_templates_sd,novelty_vs_all_reference_mean,novelty_vs_all_reference_sd,stereo_novelty_vs_all_reference_mean,stereo_novelty_vs_all_reference_sd,near_duplicate_095_mean,near_duplicate_095_sd,mean_snn_to_train_mean,mean_snn_to_train_sd,internal_diversity_mean,internal_diversity_sd,scaffold_novelty_vs_train_mean,scaffold_novelty_vs_train_sd
P0,25,3,500.0,0.0,0.1591111111111111,0.005178302310102689,79.22222222222221,2.5239592648001232,0.15844444444444442,0.0050479185296002545,0.738453671288927,0.11216249333978685,0.8279463524553182,0.0725111224801588,16.333333333333332,6.9602043392737,0.03266666666666666,0.0139204086785474,15.888888888888888,7.381157191218832,0.03177777777777777,0.014762314382437663,6.111111111111111,3.948745698648191,0.012222222222222223,0.007897491397296383,0.9942312020538409,0.00645466761440855,1.0,0.0,0.9942312020538409,0.00645466761440855,0.9942312020538409,0.00645466761440855,0.005768797946159157,0.006454667614408607,0.3111624923334096,0.022219630313148202,0.8774050392473915,0.01552906572903975,0.9041598468045144,0.018385873764645528
P0,50,3,500.0,0.0,0.244,0.03710046420793741,119.55555555555554,17.334401676477952,0.23911111111111114,0.034668803352955906,0.8081674068269252,0.030760022598580603,0.86341916062279,0.007667246815400137,45.44444444444445,11.167081252668657,0.0908888888888889,0.022334162505337308,34.666666666666664,5.238744548500571,0.06933333333333333,0.010477489097001134,21.0,6.333333333333333,0.042,0.012666666666666668,0.9163870083321638,0.03570882063908441,0.9912231258533771,0.008915707334356622,0.9095193442805917,0.04074816832339913,0.9095193442805917,0.04074816832339913,0.07766540259539984,0.034569980146940356,0.4143072696980446,0.036108430273248775,0.8641535126625502,0.009328854999184772,0.7689832907085985,0.060835794494778384
P0,100,3,500.0,0.0,0.24022222222222223,0.024947351971108495,119.0,12.170090842352455,0.238,0.02434018168470492,0.8363242200219076,0.04601626466808776,0.874346653376097,0.023604977338747564,43.333333333333336,4.58257569495584,0.08666666666666667,0.009165151389911681,36.333333333333336,1.7638342073763955,0.07266666666666666,0.003527668414752795,21.88888888888889,1.5752718754175365,0.04377777777777778,0.0031505437508350716,0.9431810327757787,0.018887492903392002,0.9914565329513721,0.00425367516793709,0.9355712725432105,0.017233240361412057,0.9355712725432105,0.017233240361412057,0.04622872548310027,0.015617240044060926,0.4148263098473182,0.008688454036386085,0.8588516862064434,0.0025608605802885237,0.7978079342868539,0.019148009866794952
P1,25,3,500.0,0.0,0.18044444444444444,0.04415293287519507,89.1111111111111,20.594857322840284,0.1782222222222222,0.041189714645680574,0.9154513215236567,0.028438330410231732,0.9050098961148949,0.029792104314958986,26.777777777777775,12.075380524638337,0.05355555555555556,0.02415076104927667,24.0,8.685876147196923,0.047999999999999994,0.01737175229439384,9.444444444444445,5.965952781626132,0.01888888888888889,0.011931905563252266,0.9742603951264796,0.03298658318943034,0.9966210926852669,0.003046880363929783,0.9719925989228576,0.03324822195487938,0.9719925989228576,0.03324822195487938,0.02468140381531951,0.031155105374481438,0.3391781485985557,0.03709497842775998,0.8715730442856161,0.0038272648549914218,0.8632667946326592,0.03688081480588607
P1,50,3,500.0,0.0,0.23844444444444443,0.03708448812184494,117.88888888888887,16.932327179206748,0.23577777777777778,0.03386465435841353,0.8922983456699108,0.013389514709971266,0.8759247079762047,0.0051539368680425255,44.44444444444445,6.431980283736133,0.08888888888888889,0.012863960567472271,37.44444444444445,3.834540872608313,0.0748888888888889,0.007669081745216616,18.777777777777775,4.857220665420976,0.03755555555555556,0.009714441330841952,0.9472947402055697,0.017886243331117564,0.9904015919076103,0.0037685545115191087,0.9386459997295145,0.020156129805450094,0.9386459997295145,0.020156129805450094,0.04637456404725851,0.01504046584433818,0.3982520288986882,0.026398781945892926,0.8657631655629169,0.0030371068713816248,0.7912073613449739,0.009621998013253147
P1,100,3,500.0,0.0,0.254,0.01212893693244018,126.44444444444444,5.872093449655022,0.2528888888888889,0.011744186899310076,0.8735107625513732,0.02569277559022082,0.8540792394226945,0.01402037016082666,50.0,7.310570733153772,0.09999999999999999,0.014621141466307545,43.333333333333336,3.8441875315569307,0.08666666666666667,0.0076883750631138725,26.333333333333332,3.0550504633038935,0.05266666666666667,0.006110100926607785,0.9534940477733874,0.03128267878288552,0.9894413395715084,0.0067407219832898825,0.9429353873448957,0.0361976536603397,0.9429353873448957,0.0361976536603397,0.04036428892483532,0.02761854586612629,0.4168610797419441,0.034061024616482576,0.8551840956499879,0.007967903857669696,0.770376120811744,0.03731658731143181
P5,25,3,500.0,0.0,0.19955555555555557,0.013537328364904903,99.44444444444444,6.500712211693365,0.1988888888888889,0.013001424423386714,0.9031085796390581,0.037209547376464286,0.9050136482508616,0.03557430418058592,23.555555555555557,3.5013225014641622,0.04711111111111111,0.007002645002928323,21.777777777777775,2.2194427061597986,0.04355555555555555,0.0044388854123196,8.777777777777777,2.1688023662159037,0.017555555555555557,0.004337604732431809,0.9827402253350804,0.017160595406115715,0.99537810027067,0.005700813425306348,0.979395464813924,0.020053511350466142,0.979395464813924,0.020053511350466142,0.017462454303083175,0.01708237365165366,0.3378096094900927,0.02885397968468346,0.8663683989450711,0.00303811897851197,0.8920931218077718,0.021836323741593274
P5,50,3,500.0,0.0,0.28933333333333333,0.041074458135331636,142.2222222222222,18.590120833189665,0.28444444444444444,0.03718024166637933,0.9057411193391401,0.006442813788537705,0.8887473239576354,0.012007686649105504,57.0,17.032648388054955,0.11399999999999999,0.0340652967761099,47.666666666666664,9.539392014169456,0.09533333333333333,0.019078784028338916,24.444444444444446,10.905316406502195,0.04888888888888889,0.021810632813004393,0.9409629616464227,0.045353743256005816,0.9910563431726795,0.003608844654416349,0.9335030867376668,0.04864176468363906,0.9335030867376668,0.04864176468363906,0.04801620521960442,0.03573522606404238,0.4062004968777994,0.053122676791415316,0.8616294361312615,0.005393517605318177,0.7379757546084987,0.059396735406389914
P5,100,3,500.0,0.0,0.28711111111111115,0.02963731381840078,142.2222222222222,15.14864619302601,0.2844444444444445,0.030297292386052027,0.9202948855751879,0.014712026628226259,0.8938843571745895,0.02452973375453653,63.55555555555555,7.676322421962612,0.1271111111111111,0.015352644843925213,54.88888888888889,7.275020682164825,0.10977777777777777,0.014550041364329634,35.666666666666664,7.234178138070238,0.07133333333333333,0.014468356276140468,0.9488041006311856,0.00870894064705567,0.9838588859873415,0.005370794608001586,0.9348559322698695,0.01037941359512919,0.9348559322698695,0.01037941359512919,0.04083696264197534,0.007605861063265537,0.4298075021477246,0.009112495307882912,0.85225018761706,0.002195266506692062,0.7679505973625723,0.017689166575840486
scratch,25,3,500.0,0.0,0.009777777777777778,0.0034210676262979222,4.333333333333334,1.7638342073763937,0.008666666666666668,0.0035276684147527875,0.037037037037037035,0.06415002990995841,0.8435185185185184,0.17612805152780014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.05797870531740904,0.010763967726435323,0.9629105349289492,0.02521311472291039,1.0,0.0
