stage,n,fraction_of_raw
raw,3780,1.0
valid,3780,1.0
unique valid,3780,1.0
chemically sane,3780,1.0
neutral,3780,1.0
strict FLP-like,3780,1.0
novel FLP-like,0,0.0
final candidates,0,0.0
