fraction,training_seed,validity,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_yield,novel_flp_yield,final_candidate_yield,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train
25,11,0.423,0.247,0.9971264367816092,1.0,0.14866666666666667,0.12966666666666668,0.075,0.048284371987551006,0.44936461799599675,0.8353957373189997,0.803146639018861
25,22,0.49133333333333334,0.25933333333333336,0.9973958333333334,1.0,0.17966666666666664,0.151,0.10866666666666668,0.06291749338624338,0.5047200373475729,0.8360054865993641,0.7808910192563081
25,33,0.5,0.26066666666666666,0.9949628364767181,0.9974920007528704,0.15233333333333332,0.128,0.08433333333333333,0.04127129636558657,0.44698947123133914,0.8344918297686412,0.8252851231766895
100,11,0.577,0.38133333333333336,0.9974310468095688,0.9879111844153892,0.312,0.24866666666666667,0.21633333333333335,0.12324769145137597,0.5998152114760747,0.812705645184742,0.5644143291811933
100,22,0.584,0.3173333333333333,0.997848029211268,0.9916913269304466,0.25766666666666665,0.20066666666666666,0.17733333333333334,0.13739359119179037,0.6098594856775043,0.808987930207234,0.5476425674374786
100,33,0.6863333333333334,0.422,0.9976295212417593,0.9991909385113269,0.347,0.26133333333333336,0.22866666666666668,0.14929628119015845,0.6230898577198375,0.8172363727124862,0.4965506572084138
