file,expected_sha256,observed_sha256,matches_manifest
train_smiles.csv,18bf70df369bd4968424eb6a1312283d11fb58832e3ecd1d0cbb260f1dfbec80,18bf70df369bd4968424eb6a1312283d11fb58832e3ecd1d0cbb260f1dfbec80,True
validation_smiles.csv,72f1f8dc0c2574e453e3b0bb4d695f1d44391fce53f52ffd78cfeda85c782c01,72f1f8dc0c2574e453e3b0bb4d695f1d44391fce53f52ffd78cfeda85c782c01,True
reference_smiles.csv,2d21183c1c6a38d945bdebdc5ccb5ad9096b1eeaf0615deba04e2d1654933a36,2d21183c1c6a38d945bdebdc5ccb5ad9096b1eeaf0615deba04e2d1654933a36,True
