prior,validity_mean,main_group_fraction_mean,strict_flp_yield_mean,flp_bpc_gap_mean,flp_bpc_gap_sd
P0,0.6973333333333334,0.0,0.0,1.133541842199543,0.09203624039366287
P0.1,0.6773333333333333,0.0006674271533781334,0.0,0.9287511531422084,0.0238726189989253
P1,0.6844444444444444,0.0089579544007412,0.00022222222222219998,0.7848245518157541,0.030621318149311395
P5,0.7013333333333334,0.04682041231108507,0.0022222222222222,0.5297270505993626,0.05630623422488985
