family,candidate_occurrences,unique_candidates,mean_nearest_template_tanimoto,median_nearest_template_tanimoto,q25,q75,fraction_at_least_0.80,fraction_at_least_0.90,fraction_at_least_0.95,exact_template_match_fraction,template_scaffold_overlap
P0,386,370,0.42945662180173155,0.4148642429820525,0.3494047619047619,0.49019607843137253,0.005405405405405406,0.0,0.0,0.0,0.13243243243243244
P5,636,586,0.4404297547268022,0.4257289204097715,0.35021929824561404,0.509925788497217,0.015358361774744027,0.005119453924914676,0.0,0.0,0.1552901023890785
