prior,feature,P0_mean,prior_mean,mean_difference,standardized_mean_difference,kl_from_P0,js_divergence
P0.1,smiles_length,40.179053333333336,40.17939333333333,0.0003399999999942338,4.052929605185888e-05,0.0001123268613860951,1.0766837885909091e-05
P0.1,token_count,39.26090666666666,39.260373333333334,-0.0005333333333297219,-6.519126997535715e-05,0.0001123268613860951,1.0766837885909091e-05
P0.1,branch_count,3.9891266666666665,3.98944,0.0003133333333336097,0.00020670729286662804,0.0001123268613860951,1.0766837885909091e-05
P0.1,heavy_atoms,23.654286666666668,23.654113333333335,-0.00017333333333269252,-3.947009447125108e-05,0.0001123268613860951,1.0766837885909091e-05
P0.1,ring_count,2.8217333333333334,2.8217333333333334,0.0,0.0,0.0001123268613860951,1.0766837885909091e-05
P0.1,aromatic_rings,2.0055533333333333,2.00554,-1.3333333333420683e-05,-1.407965768038132e-05,0.0001123268613860951,1.0766837885909091e-05
P0.1,rotatable_bonds,4.505606666666667,4.50576,0.00015333333333344967,9.926389723039582e-05,0.0001123268613860951,1.0766837885909091e-05
P1,smiles_length,40.179053333333336,40.18262,0.0035666666666642755,0.0004250063033260567,0.0019889953635386553,0.00012600666538993815
P1,token_count,39.26090666666666,39.25555333333333,-0.005353333333331989,-0.0006540874698029876,0.0019889953635386553,0.00012600666538993815
P1,branch_count,3.9891266666666665,3.991433333333333,0.002306666666666679,0.0015200703492606084,0.0019889953635386553,0.00012600666538993815
P1,heavy_atoms,23.654286666666668,23.652733333333334,-0.0015533333333337396,-0.00035353439924829726,0.0019889953635386553,0.00012600666538993815
P1,ring_count,2.8217333333333334,2.8216133333333335,-0.00011999999999989797,-0.00011987900664942654,0.0019889953635386553,0.00012600666538993815
P1,aromatic_rings,2.0055533333333333,2.0055,-5.333333333323864e-05,-5.6315274738697604e-05,0.0019889953635386553,0.00012600666538993815
P1,rotatable_bonds,4.505606666666667,4.508,0.0023933333333330253,0.0015464130504762624,0.0019889953635386553,0.00012600666538993815
P5,smiles_length,40.179053333333336,40.20206,0.023006666666667286,0.0027358422831073185,0.0127943423307671,0.000654585540218424
P5,token_count,39.26090666666666,39.23542666666667,-0.025479999999994618,-0.0031027300340681473,0.0127943423307671,0.000654585540218424
P5,branch_count,3.9891266666666665,4.005,0.015873333333333406,0.010393049115983405,0.0127943423307671,0.000654585540218424
P5,heavy_atoms,23.654286666666668,23.642533333333333,-0.011753333333334837,-0.002664523676067097,0.0127943423307671,0.000654585540218424
P5,ring_count,2.8217333333333334,2.818573333333333,-0.0031600000000002737,-0.0031490091005971633,0.0127943423307671,0.000654585540218424
P5,aromatic_rings,2.0055533333333333,2.005053333333333,-0.000500000000000167,-0.000527646239319149,0.0127943423307671,0.000654585540218424
P5,rotatable_bonds,4.505606666666667,4.51862,0.013013333333333321,0.008333596543771455,0.0127943423307671,0.000654585540218424
