prior,molecules,smiles_length_mean,smiles_length_sd,token_count_mean,token_count_sd,branch_count_mean,branch_count_sd,heavy_atoms_mean,heavy_atoms_sd,ring_count_mean,ring_count_sd,aromatic_rings_mean,aromatic_rings_sd,rotatable_bonds_mean,rotatable_bonds_sd,unique_scaffolds,unique_scaffold_fraction,effective_scaffolds,top_10_scaffold_fraction
P0,150000,40.179053333333336,8.388514112659186,39.26090666666666,8.180460490961446,3.9891266666666665,1.5156859017115782,23.654286666666668,4.391264530768264,2.8217333333333334,1.0009067593859557,2.0055533333333333,0.9469926816629313,4.505606666666667,1.5444819416615645,83128,0.5541866666666667,30600.279197972348,0.06601333333333334
P0.1,150000,40.17939333333333,8.389472803479073,39.260373333333334,8.18164848852411,3.98944,1.5159761896630777,23.654113333333335,4.39175640611488,2.8217333333333334,1.000940062189345,2.00554,0.9469927597586197,4.50576,1.5449259101028496,83159,0.5543933333333333,30612.30958252181,0.06602
P1,150000,40.18262,8.395549207997654,39.25555333333333,8.188398265814666,3.991433333333333,1.519259249287845,23.652733333333334,4.39618638199674,2.8216133333333335,1.0011118212541228,2.0055,0.9471056242013116,4.508,1.5508466615054017,83279,0.5551933333333333,30657.85171291688,0.06613999999999999
P5,150000,40.20206,8.430142676042731,39.23542666666667,8.243663465830657,4.005,1.5388320636208055,23.642533333333333,4.430736785051889,2.818573333333333,1.006067151053864,2.005053333333333,0.9482161099915448,4.51862,1.5784348488224489,83085,0.5539,30014.27787970522,0.06908
