cohort,fraction,metric,role,seeds,P0_mean,P0_sd,P5_mean,P5_sd,mean_improvement,improvement_ci_low,improvement_ci_high,positive_pairs,sign_test_p,sign_flip_mean_p,checkpoint_rule
pooled,100,validity,secondary,6,0.23455555555555552,0.024863777014110452,0.2881111111111111,0.02265653368277061,0.05355555555555558,0.02133131756763465,0.0857797935434765,6,0.015625,0.015625,validation BPC
pooled,100,strict_flp_yield,primary,6,0.08355555555555551,0.009528126005946014,0.12644444444444444,0.012917974844149313,0.04288888888888892,0.026076554848884718,0.05970122292889313,6,0.015625,0.015625,validation BPC
pooled,100,novel_flp_yield,secondary,6,0.07222222222222217,0.0066220730781117185,0.1093333333333333,0.014173527750312852,0.03711111111111113,0.017963050837299172,0.05625917138492309,6,0.015625,0.015625,validation BPC
pooled,100,final_candidate_yield,secondary,6,0.042888888888888844,0.0046316143893735204,0.07066666666666661,0.011131536781195633,0.027777777777777762,0.013634529740953999,0.041921025814601526,6,0.015625,0.015625,validation BPC
pooled,100,validity,secondary,6,0.2305555555555555,0.029002426462983066,0.28077777777777774,0.01950232654686976,0.050222222222222244,0.010015661806900257,0.09042878263754422,6,0.015625,0.015625,fixed 8000 exposures
pooled,100,strict_flp_yield,primary,6,0.08222222222222215,0.010705484921637476,0.12355555555555553,0.014358376055911184,0.04133333333333337,0.022929105651140872,0.05973756101552587,6,0.015625,0.015625,fixed 8000 exposures
pooled,100,novel_flp_yield,secondary,6,0.07111111111111106,0.006177617903606784,0.1063333333333333,0.015195028426721971,0.035222222222222245,0.016337995803392794,0.0541064486410517,6,0.015625,0.015625,fixed 8000 exposures
pooled,100,final_candidate_yield,secondary,6,0.04277777777777773,0.005568429527919645,0.06733333333333329,0.01125067899185547,0.02455555555555555,0.010146589499112018,0.03896452161199908,6,0.015625,0.015625,fixed 8000 exposures
