model,method,flp_train_n,runs,validity_mean,validity_sd,strict_flp_yield_mean,strict_flp_yield_sd,final_candidate_yield_mean,final_candidate_yield_sd,comparison_scope
Controlled GRU P5,controlled-prior GRU,42,3,0.19955555555555557,0.013537328364904897,0.0471111111111111,0.007002645002928323,0.017555555555555533,0.0043376047324318245,same evaluator; architectures and pretraining differ
GP-MoLFormer,pretrained generator,42,3,0.9723333333333333,0.014263395263556517,0.1105555555555555,0.03673377696848462,0.04477777777777777,0.02172129864475911,same evaluator; architectures and pretraining differ
MolGPT,pretrained generator,42,3,0.4714444444444444,0.04217731530012224,0.16022222222222218,0.016938887977843344,0.0893333333333333,0.017381343765978226,same evaluator; architectures and pretraining differ
REINVENT,pretrained generator,42,3,0.9434444444444443,0.0027755546659548047,0.2936666666666667,0.016643316977093262,0.12111111111111106,0.008194397363329928,same evaluator; architectures and pretraining differ
Character 5-gram,data-matched non-neural baseline,166,3,0.07466666666666667,0.005686240703077326,0.0,0.0,0.0,0.0,same 166 FLP molecules and same evaluator
Controlled GRU P5,controlled-prior GRU,166,3,0.2871111111111111,0.029637313818400804,0.1271111111111111,0.015352644843925234,0.07133333333333326,0.014468356276140468,same evaluator; architectures and pretraining differ
MolGPT,pretrained generator,166,3,0.6157777777777778,0.06120306213593254,0.3055555555555555,0.04501398959500548,0.2074444444444444,0.026796213110009348,same evaluator; architectures and pretraining differ
REINVENT,pretrained generator,166,3,0.9524444444444443,0.005091750772173152,0.4734444444444444,0.014705755990742479,0.29611111111111116,0.005640462287331973,same evaluator; architectures and pretraining differ
