stage,runs,mean_yield,sd,loss_from_previous_pp,retained_from_strict
strict FLP-like,6,0.12644444444444444,0.012917974844149313,,1.0
novel FLP-like,6,0.1093333333333333,0.014173527750312852,1.7111111111111146,0.8646748681898064
final candidate,6,0.07066666666666661,0.011131536781195633,3.866666666666668,0.5588752196836552
