model,fraction,validity_mean,validity_std,unique_valid_yield_mean,unique_valid_yield_std,strict_flp_yield_mean,strict_flp_yield_std,novel_flp_yield_mean,novel_flp_yield_std,final_candidate_yield_mean,final_candidate_yield_std,mean_snn_to_train_mean,mean_snn_to_train_std,internal_diversity_mean,internal_diversity_std,scaffold_novelty_vs_train_mean,scaffold_novelty_vs_train_std
GP-MoLFormer,25,0.9723333333333334,0.014263395263556529,0.7533333333333333,0.2586537797477118,0.1105555555555555,0.03673377696848462,0.07911111111111106,0.019140803806799025,0.04477777777777777,0.02172129864475911,0.27595897687149623,0.09296647648130665,0.9065271748994183,0.006787875887094097,0.8948205834471207,0.07932926819009002
MolGPT,25,0.4714444444444444,0.04217731530012227,0.25566666666666665,0.007535103036971511,0.16022222222222218,0.01693888797784334,0.13622222222222222,0.012825033391047442,0.0893333333333333,0.01738134376597823,0.4670247088583029,0.03266670587882857,0.835297684562335,0.0007615773155863193,0.8031075938172861,0.022197077715754156
MolGPT,100,0.6157777777777778,0.06120306213593252,0.3735555555555556,0.05276502769968143,0.3055555555555555,0.04501398959500548,0.23688888888888884,0.03200231473109638,0.2074444444444444,0.02679621311000934,0.6109215182911388,0.01167361231142239,0.8129766493681542,0.004130893776313148,0.5362025179423618,0.03534862858365648
REINVENT,25,0.9434444444444443,0.002775554665954809,0.9138888888888889,0.005640462287332099,0.29366666666666663,0.016643316977093273,0.26799999999999996,0.012423096769056155,0.12111111111111106,0.008194397363329928,0.3261025752358082,0.010894101408712881,0.8793744300362792,0.002631216511194068,0.9147866026806973,0.0053991631263353565
REINVENT,100,0.9524444444444443,0.005091750772173152,0.9051111111111112,0.021229783411606164,0.4734444444444444,0.014705755990742477,0.4112222222222222,0.0028349668493717972,0.29611111111111116,0.005640462287331981,0.46506507003365444,0.02184361003665466,0.846682415361628,0.0045610405282056525,0.7570136950907719,0.03424352260302432
