reference_index,smiles,canonical_smiles,curation_status,parse_ok,canonical_roundtrip_ok,canonical_audit,molecular_formula,molecular_weight,heavy_atoms,components,formal_charge,radical_electrons,stereocenters,elements,B,P,N,Al,Si,canonical_match
88,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2cccc3c2oc2c(B(c4c(F)c(F)c(F)c(F)c4F)c4c(F)c(F)c(F)c(F)c4F)cccc23)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2cccc3c2oc2c(B(c4c(F)c(F)c(F)c(F)c4F)c4c(F)c(F)c(F)c(F)c4F)cccc23)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2cccc3c2oc2c(B(c4c(F)c(F)c(F)c(F)c4F)c4c(F)c(F)c(F)c(F)c4F)cccc23)c(C)c1,C42H28BF10OP,780.451,55,1,0,0,0,B;C;F;O;P,1,1,0,0,0,True
89,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2cccc3c2oc2c(B(c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)cccc23)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2cccc3c2oc2c(B(c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)cccc23)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2cccc3c2oc2c(B(c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)cccc23)c(C)c1,C42H28BCl10OP,945.001,55,1,0,0,0,B;C;Cl;O;P,1,1,0,0,0,True
90,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2cccc3c2oc2c(P(c4ccccc4)c4ccccc4)cccc23)c(F)c1F,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2cccc3c2oc2c(P(c4ccccc4)c4ccccc4)cccc23)c(F)c1F,keep,True,True,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2cccc3c2oc2c(P(c4ccccc4)c4ccccc4)cccc23)c(F)c1F,C36H16BF10OP,696.289,49,1,0,0,0,B;C;F;O;P,1,1,0,0,0,True
91,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2cccc3c2oc2c(P(c4ccccc4)c4ccccc4)cccc23)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2cccc3c2oc2c(P(c4ccccc4)c4ccccc4)cccc23)c(Cl)c1Cl,keep,True,True,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2cccc3c2oc2c(P(c4ccccc4)c4ccccc4)cccc23)c(Cl)c1Cl,C36H16BCl10OP,860.839,49,1,0,0,0,B;C;Cl;O;P,1,1,0,0,0,True
92,Cc1cc(C)c(P(c2cccc3c2Oc2c(B(c4c(F)c(F)c(F)c(F)c4F)c4c(F)c(F)c(F)c(F)c4F)cccc2C3(C)C)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(c2cccc3c2Oc2c(B(c4c(F)c(F)c(F)c(F)c4F)c4c(F)c(F)c(F)c(F)c4F)cccc2C3(C)C)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2cccc3c2Oc2c(B(c4c(F)c(F)c(F)c(F)c4F)c4c(F)c(F)c(F)c(F)c4F)cccc2C3(C)C)c2c(C)cc(C)cc2C)c(C)c1,C45H34BF10OP,822.532,58,1,0,0,0,B;C;F;O;P,1,1,0,0,0,True
93,Cc1cc(C)c(P(c2cccc3c2Oc2c(B(c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)cccc2C3(C)C)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(c2cccc3c2Oc2c(B(c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)cccc2C3(C)C)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2cccc3c2Oc2c(B(c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)cccc2C3(C)C)c2c(C)cc(C)cc2C)c(C)c1,C45H34BCl10OP,987.082,58,1,0,0,0,B;C;Cl;O;P,1,1,0,0,0,True
94,CC1(C)c2cccc(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,CC1(C)c2cccc(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,keep,True,True,CC1(C)c2cccc(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,C39H22BF10OP,738.37,52,1,0,0,0,B;C;F;O;P,1,1,0,0,0,True
95,CC1(C)c2cccc(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,CC1(C)c2cccc(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,keep,True,True,CC1(C)c2cccc(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,C39H22BCl10OP,902.92,52,1,0,0,0,B;C;Cl;O;P,1,1,0,0,0,True
96,CC(C)P(c1cccc2c1Oc1c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)cccc1C2(C)C)C(C)C,CC(C)P(c1cccc2c1Oc1c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)cccc1C2(C)C)C(C)C,keep,True,True,CC(C)P(c1cccc2c1Oc1c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)cccc1C2(C)C)C(C)C,C33H26BF10OP,670.336,46,1,0,0,0,B;C;F;O;P,1,1,0,0,0,True
97,CC(C)P(c1cccc2c1Oc1c(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)cccc1C2(C)C)C(C)C,CC(C)P(c1cccc2c1Oc1c(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)cccc1C2(C)C)C(C)C,keep,True,True,CC(C)P(c1cccc2c1Oc1c(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)cccc1C2(C)C)C(C)C,C33H26BCl10OP,834.886,46,1,0,0,0,B;C;Cl;O;P,1,1,0,0,0,True
98,CC=C(CP(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,CC=C(CP(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,keep,True,True,CC=C(CP(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C34H28BF10P,668.364,46,1,0,0,0,B;C;F;P,1,1,0,0,0,True
99,CC=C(CP(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CC=C(CP(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,keep,True,True,CC=C(CP(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,C34H28BCl10P,832.914,46,1,0,0,0,B;C;Cl;P,1,1,0,0,0,True
100,CC=C(CP(c1ccccc1)c1ccccc1)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,CC=C(CP(c1ccccc1)c1ccccc1)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,keep,True,True,CC=C(CP(c1ccccc1)c1ccccc1)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C28H16BF10P,584.202,40,1,0,0,0,B;C;F;P,1,1,0,0,0,True
101,CC=C(CP(c1ccccc1)c1ccccc1)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CC=C(CP(c1ccccc1)c1ccccc1)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,keep,True,True,CC=C(CP(c1ccccc1)c1ccccc1)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,C28H16BCl10P,748.752,40,1,0,0,0,B;C;Cl;P,1,1,0,0,0,True
102,Cc1cc(C)c(P(CC(=C[Si](C)(C)C)B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(CC(=C[Si](C)(C)C)B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(CC(=C[Si](C)(C)C)B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,C36H34BF10PSi,726.52,49,1,0,0,0,B;C;F;P;Si,1,1,0,0,1,True
103,Cc1cc(C)c(P(CC(=C[Si](C)(C)C)B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(CC(=C[Si](C)(C)C)B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(CC(=C[Si](C)(C)C)B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,C36H34BCl10PSi,891.07,49,1,0,0,0,B;C;Cl;P;Si,1,1,0,0,1,True
104,C[Si](C)(C)C=C(CP(c1ccccc1)c1ccccc1)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C[Si](C)(C)C=C(CP(c1ccccc1)c1ccccc1)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,keep,True,True,C[Si](C)(C)C=C(CP(c1ccccc1)c1ccccc1)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C30H22BF10PSi,642.358,43,1,0,0,0,B;C;F;P;Si,1,1,0,0,1,True
105,C[Si](C)(C)C=C(CP(c1ccccc1)c1ccccc1)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,C[Si](C)(C)C=C(CP(c1ccccc1)c1ccccc1)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,keep,True,True,C[Si](C)(C)C=C(CP(c1ccccc1)c1ccccc1)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,C30H22BCl10PSi,806.908,43,1,0,0,0,B;C;Cl;P;Si,1,1,0,0,1,True
106,COB(OC)c1ccccc1P(c1ccccc1)c1ccccc1,COB(OC)c1ccccc1P(c1ccccc1)c1ccccc1,keep,True,True,COB(OC)c1ccccc1P(c1ccccc1)c1ccccc1,C20H20BO2P,334.164,24,1,0,0,0,B;C;O;P,1,1,0,0,0,True
107,COB(OC)c1ccccc1P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,COB(OC)c1ccccc1P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,keep,True,True,COB(OC)c1ccccc1P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,C26H32BO2P,418.326,30,1,0,0,0,B;C;O;P,1,1,0,0,0,True
108,CC1(C)OB(c2ccccc2P(c2ccccc2)c2ccccc2)OC1(C)C,CC1(C)OB(c2ccccc2P(c2ccccc2)c2ccccc2)OC1(C)C,keep,True,True,CC1(C)OB(c2ccccc2P(c2ccccc2)c2ccccc2)OC1(C)C,C24H26BO2P,388.256,28,1,0,0,0,B;C;O;P,1,1,0,0,0,True
109,Cc1cc(C)c(P(c2ccccc2B2OC(C)(C)C(C)(C)O2)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(c2ccccc2B2OC(C)(C)C(C)(C)O2)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2ccccc2B2OC(C)(C)C(C)(C)O2)c2c(C)cc(C)cc2C)c(C)c1,C30H38BO2P,472.418,34,1,0,0,0,B;C;O;P,1,1,0,0,0,True
110,CC1(C)COB(c2ccccc2P(c2ccccc2)c2ccccc2)OC1,CC1(C)COB(c2ccccc2P(c2ccccc2)c2ccccc2)OC1,keep,True,True,CC1(C)COB(c2ccccc2P(c2ccccc2)c2ccccc2)OC1,C23H24BO2P,374.229,27,1,0,0,0,B;C;O;P,1,1,0,0,0,True
111,Cc1cc(C)c(P(c2ccccc2B2OCC(C)(C)CO2)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(c2ccccc2B2OCC(C)(C)CO2)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2ccccc2B2OCC(C)(C)CO2)c2c(C)cc(C)cc2C)c(C)c1,C29H36BO2P,458.391,33,1,0,0,0,B;C;O;P,1,1,0,0,0,True
112,COB(OC)c1ccccc1P(C(C)C)C(C)C,COB(OC)c1ccccc1P(C(C)C)C(C)C,keep,True,True,COB(OC)c1ccccc1P(C(C)C)C(C)C,C14H24BO2P,266.13,18,1,0,0,0,B;C;O;P,1,1,0,0,0,True
113,CC(C)P(c1ccccc1B1Oc2ccccc2O1)C(C)C,CC(C)P(c1ccccc1B1Oc2ccccc2O1)C(C)C,keep,True,True,CC(C)P(c1ccccc1B1Oc2ccccc2O1)C(C)C,C18H22BO2P,312.158,22,1,0,0,0,B;C;O;P,1,1,0,0,0,True
114,CC(C)P(c1ccccc1B1OC(C)(C)C(C)(C)O1)C(C)C,CC(C)P(c1ccccc1B1OC(C)(C)C(C)(C)O1)C(C)C,keep,True,True,CC(C)P(c1ccccc1B1OC(C)(C)C(C)(C)O1)C(C)C,C18H30BO2P,320.222,22,1,0,0,0,B;C;O;P,1,1,0,0,0,True
115,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCC2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCC2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCC2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,C35H30BF10P,682.391,47,1,0,0,2,B;C;F;P,1,1,0,0,0,True
116,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCC2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCC2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCC2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,C35H30BCl10P,846.941,47,1,0,0,2,B;C;Cl;P,1,1,0,0,0,True
117,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CCCC2P(c2ccccc2)c2ccccc2)c(F)c1F,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CCCC2P(c2ccccc2)c2ccccc2)c(F)c1F,keep,True,True,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CCCC2P(c2ccccc2)c2ccccc2)c(F)c1F,C29H18BF10P,598.229,41,1,0,0,2,B;C;F;P,1,1,0,0,0,True
118,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CCCC2P(c2ccccc2)c2ccccc2)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CCCC2P(c2ccccc2)c2ccccc2)c(Cl)c1Cl,keep,True,True,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CCCC2P(c2ccccc2)c2ccccc2)c(Cl)c1Cl,C29H18BCl10P,762.779,41,1,0,0,2,B;C;Cl;P,1,1,0,0,0,True
119,Cc1cc(C)c(P(CC(C)CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(CC(C)CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(CC(C)CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,C34H30BF10P,670.38,46,1,0,0,1,B;C;F;P,1,1,0,0,0,True
120,Cc1cc(C)c(P(CC(C)CB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(CC(C)CB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(CC(C)CB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,C34H30BCl10P,834.93,46,1,0,0,1,B;C;Cl;P,1,1,0,0,0,True
121,CC(CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)CP(c1ccccc1)c1ccccc1,CC(CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)CP(c1ccccc1)c1ccccc1,keep,True,True,CC(CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)CP(c1ccccc1)c1ccccc1,C28H18BF10P,586.218,40,1,0,0,1,B;C;F;P,1,1,0,0,0,True
122,CC(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)CP(c1ccccc1)c1ccccc1,CC(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)CP(c1ccccc1)c1ccccc1,keep,True,True,CC(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)CP(c1ccccc1)c1ccccc1,C28H18BCl10P,750.768,40,1,0,0,1,B;C;Cl;P,1,1,0,0,0,True
123,Cc1cc(C)c(P(CCCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(CCCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(CCCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,C34H30BF10P,670.38,46,1,0,0,0,B;C;F;P,1,1,0,0,0,True
124,Cc1cc(C)c(P(CCCCB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(CCCCB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(CCCCB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,C34H30BCl10P,834.93,46,1,0,0,0,B;C;Cl;P,1,1,0,0,0,True
125,Fc1c(F)c(F)c(B(CCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,Fc1c(F)c(F)c(B(CCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,keep,True,True,Fc1c(F)c(F)c(B(CCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,C28H18BF10P,586.218,40,1,0,0,0,B;C;F;P,1,1,0,0,0,True
126,Clc1c(Cl)c(Cl)c(B(CCCCP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(B(CCCCP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,keep,True,True,Clc1c(Cl)c(Cl)c(B(CCCCP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,C28H18BCl10P,750.768,40,1,0,0,0,B;C;Cl;P,1,1,0,0,0,True
127,Cc1cc(C)c(P(CCC(C)CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(CCC(C)CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(CCC(C)CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,C35H32BF10P,684.407,47,1,0,0,1,B;C;F;P,1,1,0,0,0,True
128,Cc1cc(C)c(P(CCC(C)CB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(CCC(C)CB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(P(CCC(C)CB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,C35H32BCl10P,848.957,47,1,0,0,1,B;C;Cl;P,1,1,0,0,0,True
129,CC(CCP(c1ccccc1)c1ccccc1)CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,CC(CCP(c1ccccc1)c1ccccc1)CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,keep,True,True,CC(CCP(c1ccccc1)c1ccccc1)CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C29H20BF10P,600.245,41,1,0,0,1,B;C;F;P,1,1,0,0,0,True
130,CC(CCP(c1ccccc1)c1ccccc1)CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CC(CCP(c1ccccc1)c1ccccc1)CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,keep,True,True,CC(CCP(c1ccccc1)c1ccccc1)CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,C29H20BCl10P,764.795,41,1,0,0,1,B;C;Cl;P,1,1,0,0,0,True
131,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(C(C)(C)C)cc2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(C(C)(C)C)cc2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(C(C)(C)C)cc2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,C41H36BF10P,760.505,53,1,0,0,0,B;C;F;P,1,1,0,0,0,True
132,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(C(C)(C)C)cc2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(C(C)(C)C)cc2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(C(C)(C)C)cc2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,C41H36BCl10P,925.055,53,1,0,0,0,B;C;Cl;P,1,1,0,0,0,True
