prior,training_seeds,raw_n_mean,raw_n_sd,validity_mean,validity_sd,unique_valid_n_mean,unique_valid_n_sd,unique_valid_yield_mean,unique_valid_yield_sd,chemically_sane_fraction_mean,chemically_sane_fraction_sd,neutral_fraction_mean,neutral_fraction_sd,strict_flp_n_mean,strict_flp_n_sd,strict_flp_yield_mean,strict_flp_yield_sd,novel_flp_n_mean,novel_flp_n_sd,novel_flp_yield_mean,novel_flp_yield_sd,final_candidate_n_mean,final_candidate_n_sd,final_candidate_yield_mean,final_candidate_yield_sd,novelty_vs_all_seed_mean,novelty_vs_all_seed_sd,novelty_vs_templates_mean,novelty_vs_templates_sd,novelty_vs_all_reference_mean,novelty_vs_all_reference_sd,stereo_novelty_vs_all_reference_mean,stereo_novelty_vs_all_reference_sd,near_duplicate_095_mean,near_duplicate_095_sd,mean_snn_to_train_mean,mean_snn_to_train_sd,internal_diversity_mean,internal_diversity_sd,scaffold_novelty_vs_train_mean,scaffold_novelty_vs_train_sd,B_fraction_unique_valid_mean,B_fraction_unique_valid_sd,P_fraction_unique_valid_mean,P_fraction_unique_valid_sd,N_fraction_unique_valid_mean,N_fraction_unique_valid_sd,Si_fraction_unique_valid_mean,Si_fraction_unique_valid_sd,Al_fraction_unique_valid_mean,Al_fraction_unique_valid_sd,Ge_fraction_unique_valid_mean,Ge_fraction_unique_valid_sd,main_group_fraction_unique_valid_mean,main_group_fraction_unique_valid_sd,B_and_P_or_N_fraction_unique_valid_mean,B_and_P_or_N_fraction_unique_valid_sd
P0,3,500.0,0.0,0.6973333333333334,0.02292984469589305,348.6666666666667,11.46492234794654,0.6973333333333334,0.02292984469589305,0.9901570412129016,0.0013218740657602252,0.9719548625788824,0.004598180658991073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.16111899908778718,0.0024635595562784466,0.872670434639176,0.0019877116600267443,0.947664856487009,0.007225780076960494,0.0,0.0,0.0,0.0,0.9614711615819883,0.0063598516770470605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0.1,3,500.0,0.0,0.6773333333333333,0.03827967258654822,338.6666666666667,19.139836293274122,0.6773333333333333,0.03827967258654822,0.9914600530179288,0.0018055643723927934,0.9707976995956127,0.0036043059870108423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.16058447677491142,0.001324410443319781,0.8706623399360094,0.001168425324297854,0.9519155732972518,0.00987428791030059,0.0,0.0,0.000667427153378162,0.0005794278258222657,0.9684040714643881,0.0012644211970412032,0.0,0.0,0.0,0.0,0.0,0.0,0.000667427153378162,0.0005794278258222657,0.0,0.0
P1,3,500.0,0.0,0.6844444444444444,0.020756078984596707,342.2222222222222,10.378039492298335,0.6844444444444444,0.020756078984596707,0.9896966842879641,0.0022497872396639433,0.965996685841375,0.0025760369813595508,0.1111111111111111,0.19245008972987526,0.0002222222222222222,0.00038490017945975053,0.1111111111111111,0.19245008972987526,0.0002222222222222222,0.00038490017945975053,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1603830737032885,0.0015365007650761894,0.8714290643029433,0.00014660426752928263,0.951920725382157,0.002883888916571223,0.0012687574127346437,0.0005775661776698767,0.005791354415030991,0.0017884413532733064,0.9638822272521703,0.005404187116666752,0.0006411143397444767,0.000557329448339719,0.0006302530385605948,0.0005467604516588014,0.000626475194670549,0.0005431888064927863,0.008957954400741255,0.0027111123912405164,0.0006422822180640945,0.000556260594156843
P5,3,500.0,0.0,0.7013333333333334,0.008326663997864537,350.6666666666667,4.163331998932265,0.7013333333333334,0.008326663997864537,0.9851955053829015,0.0025105985230637184,0.9667779922021863,0.005037310289098014,1.111111111111111,0.1924500897298752,0.0022222222222222222,0.0003849001794597504,1.111111111111111,0.1924500897298752,0.0022222222222222222,0.0003849001794597504,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1607217589920622,0.0019416129802591582,0.8728167142909844,0.0011503228818912268,0.939820707680477,0.01036655213164839,0.015005258747822506,0.004003916693852196,0.02397320397087377,0.004273104338545417,0.9464705350074424,0.004937922096407043,0.00438338918152588,0.0028275434748512665,0.0025284388236390468,0.0014360088352394424,0.002825316392611825,0.0019078086457624708,0.046820412311085115,0.009619238022630093,0.008982272534031286,0.0014642858768537201
