evaluator_version,raw_n,validity,unique_valid_n,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_n,strict_flp_yield,novel_flp_n,novel_flp_yield,final_candidate_n,final_candidate_yield,novelty_vs_all_seed,novelty_vs_templates,novelty_vs_all_reference,stereo_novelty_vs_all_reference,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train,B_fraction_unique_valid,P_fraction_unique_valid,N_fraction_unique_valid,Si_fraction_unique_valid,Al_fraction_unique_valid,Ge_fraction_unique_valid,main_group_fraction_unique_valid,B_and_P_or_N_fraction_unique_valid,prior,training_seed,generation_seed
2.1.1,500,0.696,348,0.696,0.985632183908046,0.9655172413793104,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.1598384776579615,0.8752264138544721,0.936046511627907,0.0,0.0,0.9683908045977011,0.0,0.0,0.0,0.0,0.0,P0,33,303
2.1.1,500,0.692,346,0.692,0.9971098265895953,0.9855491329479769,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15859992994286792,0.8717741504756497,0.9652173913043478,0.0,0.014450867052023121,0.9739884393063584,0.0,0.0,0.0,0.014450867052023121,0.0,P1,11,101
2.1.1,500,0.73,365,0.73,0.9780821917808219,0.958904109589041,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15942673570254154,0.8714245833307723,0.9506849315068493,0.0027397260273972603,0.00821917808219178,0.9726027397260274,0.0027397260273972603,0.0027397260273972603,0.0027397260273972603,0.019178082191780823,0.0,P1,11,202
2.1.1,500,0.69,345,0.69,0.9884057971014493,0.9623188405797102,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15902305490862104,0.8706806326281358,0.9302325581395349,0.0,0.0,0.9623188405797102,0.0,0.0,0.0,0.0,0.0,P1,11,303
2.1.1,500,0.632,316,0.632,0.990506329113924,0.9651898734177216,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15887694877244635,0.8704992765982652,0.9616613418530351,0.0,0.0031645569620253164,0.9715189873417721,0.0,0.0,0.0,0.0031645569620253164,0.0,P1,22,101
2.1.1,500,0.696,348,0.696,0.985632183908046,0.9540229885057471,1,0.002,1,0.002,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16223513155913982,0.8713024776848619,0.9482758620689655,0.0028735632183908046,0.005747126436781609,0.9597701149425287,0.0,0.0,0.0,0.008620689655172414,0.0028735632183908046,P1,22,202
2.1.1,500,0.66,330,0.66,0.990909090909091,0.9757575757575757,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15914697901597363,0.8724272574590786,0.9483282674772037,0.0,0.0030303030303030303,0.9454545454545454,0.0030303030303030303,0.0,0.0,0.006060606060606061,0.0,P1,22,303
2.1.1,500,0.688,344,0.688,0.9941860465116279,0.9593023255813954,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16332776122929427,0.8667671416575866,0.9651162790697675,0.0029069767441860465,0.005813953488372093,0.9680232558139535,0.0,0.0,0.0,0.00872093023255814,0.0029069767441860465,P1,33,101
2.1.1,500,0.682,341,0.682,0.9853372434017595,0.9648093841642229,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16135108151490024,0.8742928364550936,0.9442815249266863,0.0,0.008797653958944282,0.9589442815249267,0.0,0.002932551319648094,0.0,0.011730205278592375,0.0,P1,33,202
2.1.1,500,0.69,345,0.69,0.9971014492753624,0.9681159420289855,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.1614600406838116,0.8736932224370453,0.9534883720930233,0.002898550724637681,0.002898550724637681,0.9623188405797102,0.0,0.0,0.002898550724637681,0.008695652173913044,0.0,P1,33,303
2.1.1,500,0.684,342,0.684,0.9883040935672515,0.9766081871345029,2,0.004,2,0.004,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16142061707009922,0.8744885253058885,0.9384164222873901,0.02631578947368421,0.02046783625730994,0.9327485380116959,0.0,0.0029239766081871343,0.0029239766081871343,0.05263157894736842,0.008771929824561403,P5,11,101
2.1.1,500,0.69,345,0.69,0.9855072463768116,0.9710144927536232,2,0.004,2,0.004,0,0.0,1.0,1.0,1.0,1.0,0.0,0.161060866436126,0.8713468951820824,0.936046511627907,0.017391304347826087,0.03188405797101449,0.9478260869565217,0.002898550724637681,0.0,0.002898550724637681,0.05217391304347826,0.017391304347826087,P5,11,202
2.1.1,500,0.722,361,0.722,0.9750692520775623,0.9667590027700831,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.1593109887573712,0.8757089477814629,0.9279778393351801,0.0110803324099723,0.0332409972299169,0.9473684210526315,0.008310249307479225,0.008310249307479225,0.008310249307479225,0.060941828254847646,0.0,P5,11,303
2.1.1,500,0.698,349,0.698,0.9914040114613181,0.9713467048710601,2,0.004,2,0.004,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16288304456722436,0.8723670767955197,0.9538904899135446,0.02005730659025788,0.03151862464183381,0.9570200573065902,0.0028653295128939827,0.0,0.0,0.054441260744985676,0.02005730659025788,P5,22,101
2.1.1,500,0.68,340,0.68,0.9882352941176471,0.9705882352941176,1,0.002,1,0.002,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16148437418925568,0.8720790111786062,0.9557522123893806,0.0058823529411764705,0.008823529411764706,0.9529411764705882,0.0029411764705882353,0.0,0.0029411764705882353,0.020588235294117647,0.0029411764705882353,P5,22,202
2.1.1,500,0.706,353,0.706,0.9745042492917847,0.9603399433427762,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.1638001449602292,0.8702824281191763,0.9457142857142857,0.0056657223796034,0.019830028328611898,0.9461756373937678,0.0,0.0028328611898017,0.0056657223796034,0.0339943342776204,0.0,P5,22,303
2.1.1,500,0.704,352,0.704,0.9886363636363636,0.9602272727272727,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.1593367881790061,0.8700181742408605,0.9316239316239316,0.019886363636363636,0.02556818181818182,0.9573863636363636,0.008522727272727272,0.002840909090909091,0.0,0.056818181818181816,0.008522727272727272,P5,33,101
2.1.1,500,0.684,342,0.684,0.9912280701754386,0.9590643274853801,2,0.004,2,0.004,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15947619681008374,0.8763193478567234,0.9347181008902077,0.023391812865497075,0.017543859649122806,0.9385964912280702,0.005847953216374269,0.005847953216374269,0.0,0.04678362573099415,0.02046783625730994,P5,33,202
2.1.1,500,0.744,372,0.744,0.9838709677419355,0.9650537634408602,1,0.002,1,0.002,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15772280995916452,0.8727400221585399,0.9342465753424658,0.005376344086021506,0.026881720430107527,0.9381720430107527,0.008064516129032258,0.0,0.002688172043010753,0.043010752688172046,0.002688172043010753,P5,33,303
