checkpoint_rule,training_seeds,mean_P0,mean_P5,mean_paired_difference,ci95_low,ci95_high,P5_wins
validation BPC,6,0.08355555555555551,0.12644444444444444,0.04288888888888892,0.026076554848884718,0.05970122292889313,6
fixed 8000 exposures,6,0.08222222222222222,0.12355555555555554,0.04133333333333334,0.02292910565114086,0.05973756101552582,6
