family,training_seed,raw_n,validity,unique_valid_n,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_n,strict_flp_yield,novel_flp_n,novel_flp_yield,final_candidate_n,final_candidate_yield,novelty_vs_all_seed,novelty_vs_templates,novelty_vs_all_reference,stereo_novelty_vs_all_reference,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train
P0,11,500.0,0.25933333333333336,128.66666666666666,0.25733333333333336,0.8606316053522743,0.8936718442286576,42.333333333333336,0.08466666666666667,35.666666666666664,0.07133333333333333,20.666666666666668,0.04133333333333333,0.9532303101916336,0.9866028108022471,0.94263424144206,0.94263424144206,0.03121720015578894,0.40968687242973895,0.8609438103217126,0.79972314017026
P0,22,500.0,0.212,105.33333333333333,0.21066666666666667,0.865089470131487,0.8813303099017386,39.333333333333336,0.07866666666666666,35.0,0.06999999999999999,21.333333333333332,0.042666666666666665,0.9549193414739633,0.9932316360887791,0.9481509775627422,0.9481509775627422,0.045080658526036675,0.4099342009773251,0.8559958536035718,0.8159263705482193
P0,33,500.0,0.24933333333333332,123.0,0.246,0.7832515845819615,0.8480378059978947,48.333333333333336,0.09666666666666666,38.333333333333336,0.07666666666666667,23.666666666666668,0.04733333333333333,0.9213934466617394,0.99453515196309,0.9159285986248292,0.9159285986248292,0.06238831776747519,0.42485785613489063,0.8596153946940457,0.7777742921420825
P0,44,500.0,0.20466666666666666,101.0,0.20199999999999999,0.8069718203619604,0.8372739048332475,36.666666666666664,0.07333333333333333,33.333333333333336,0.06666666666666667,21.333333333333332,0.042666666666666665,0.9666137355577403,0.9967948717948718,0.9634086073526124,0.9634086073526124,0.02980203505157857,0.3836055300203811,0.8643455782590888,0.8399382941582431
P0,55,500.0,0.19733333333333333,98.66666666666667,0.19733333333333333,0.8321596636781301,0.8481366251839958,34.333333333333336,0.06866666666666667,31.333333333333332,0.06266666666666666,16.666666666666668,0.03333333333333333,0.979198726526607,0.9894355791962175,0.9686343057228243,0.9686343057228243,0.01370907489183282,0.382596321471307,0.8593722064681515,0.8259181866991714
P0,66,500.0,0.26066666666666666,130.0,0.26,0.8184530452509561,0.8619715106255885,45.666666666666664,0.09133333333333334,39.666666666666664,0.07933333333333334,24.666666666666668,0.04933333333333333,0.9538466607570665,0.9922654388303244,0.9487576022328935,0.9487576022328935,0.03841877807325778,0.40850701633384173,0.8617188569318047,0.797210496143423
P5,11,500.0,0.27,133.66666666666666,0.26733333333333337,0.8942944514444942,0.8833241316551278,55.333333333333336,0.11066666666666668,47.333333333333336,0.09466666666666668,29.333333333333332,0.058666666666666666,0.9419295072416642,0.9928890221156408,0.9348185293573051,0.9348185293573051,0.04993942698948186,0.43392400424158706,0.8589843813443586,0.7527166874992962
P5,22,500.0,0.25533333333333336,126.0,0.252,0.9074068491195914,0.8809314451592761,55.666666666666664,0.11133333333333334,47.0,0.09400000000000001,27.333333333333332,0.05466666666666667,0.952429020961921,0.9786925546960156,0.9311215756579365,0.9311215756579365,0.0348065097252621,0.4196979768403814,0.8529828425737872,0.7608967191686112
P5,33,500.0,0.29200000000000004,144.66666666666666,0.2893333333333334,0.9363236633069617,0.9221753585777183,71.0,0.142,61.333333333333336,0.12266666666666666,40.333333333333336,0.08066666666666666,0.9388681798952973,0.9834709911384102,0.9268603948190105,0.9268603948190105,0.04938159691023144,0.43738925793184363,0.8539854327810744,0.7880784013757673
P5,44,500.0,0.312,155.66666666666666,0.3113333333333333,0.9146633350107295,0.8933337960633246,70.0,0.14,62.666666666666664,0.12533333333333332,37.0,0.074,0.964144209801778,0.9896013002712755,0.9537455100730535,0.9537455100730535,0.03226963276591068,0.4210424702142815,0.850678333014122,0.7698164738487319
P5,55,500.0,0.2806666666666667,138.33333333333334,0.27666666666666667,0.9138737237221196,0.8950400874246215,62.0,0.124,55.0,0.11,38.666666666666664,0.07733333333333332,0.9473585137000344,0.9927232637304325,0.9400817774304672,0.9400817774304672,0.04117285542834961,0.44211044901236635,0.8498705098844077,0.7634127145233033
P5,66,500.0,0.27466666666666667,134.33333333333334,0.26866666666666666,0.8958417169684775,0.8822490498546837,56.666666666666664,0.11333333333333333,45.666666666666664,0.09133333333333334,29.333333333333332,0.058666666666666666,0.9205628834736815,0.9780336339021786,0.9009439352162357,0.9009439352162357,0.07462056288347368,0.4573804229747491,0.8481831107808553,0.7555534541633833
