metric,successes,total,value,ci95_low,ci95_high
candidate acceptance rate,24,24,1.0,0.8620237953250198,1.0
decoy rejection rate,13,21,0.6190476190476191,0.4087865377511576,0.7924898863143551
agreement with panel labels,37,45,0.8222222222222222,0.6867017537354023,0.9070561048589585
accepted-structure precision,24,32,0.75,0.5789344100575552,0.8674759908149096
B-centered decoy rejection rate,13,18,0.7222222222222222,0.4912734343970254,0.8750024662044601
B-centered accepted-structure precision,24,29,0.8275862068965517,0.6545156010980476,0.9240214274710877
