smiles,canonical_smiles,curation_status
Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(c3ccccc3)C[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(c3ccccc3)C[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,keep
Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)CC(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)c(F)c1F,Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)CC(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)c(F)c1F,keep
Clc1c(Cl)c(Cl)c([B-]2(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)CC(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c([B-]2(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)CC(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)c(Cl)c1Cl,keep
Cc1cc(C)c(C2C[B-](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)[P+]2(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(C2C[B-](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)[P+]2(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,keep
Cc1cc(C)c(C2C[B-](c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)[P+]2(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(C2C[B-](c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)[P+]2(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,keep
Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)CC([Si](C)(C)C)[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)CC([Si](C)(C)C)[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,keep
Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)CC([Si](C)(C)C)[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)CC([Si](C)(C)C)[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,keep
C[Si](C)(C)C1C[P+](c2ccccc2)(c2ccccc2)[B-]1(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C[Si](C)(C)C1C[P+](c2ccccc2)(c2ccccc2)[B-]1(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,keep
C[Si](C)(C)C1C[P+](c2ccccc2)(c2ccccc2)[B-]1(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,C[Si](C)(C)C1C[P+](c2ccccc2)(c2ccccc2)[B-]1(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,keep
CC1CCC(C)P1B(C(F)(F)F)C(F)(F)F,CC1CCC(C)P1B(C(F)(F)F)C(F)(F)F,keep
