fraction,training_seed,validity,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_yield,novel_flp_yield,final_candidate_yield,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train
25,11,0.9456666666666665,0.9186666666666667,0.9891215664481208,0.9774924144963189,0.3056666666666667,0.27466666666666667,0.12533333333333332,0.0159510311503275,0.3339309876894782,0.8786241652323424,0.9093085019151422
25,22,0.9403333333333332,0.9153333333333333,0.99125999834806,0.9741403158300231,0.27466666666666667,0.25366666666666665,0.11166666666666668,0.009832105890061681,0.313660859739278,0.8822992932812506,0.9201032045113801
25,33,0.9443333333333334,0.9076666666666666,0.9915644333227043,0.9794224573269905,0.30066666666666664,0.27566666666666667,0.12633333333333333,0.013209900369796483,0.33071587827866855,0.8771998315952446,0.91494810161557
100,11,0.948,0.907,0.98787334984549,0.9408274334855781,0.478,0.4123333333333334,0.2946666666666667,0.054410380264836126,0.4637995577401943,0.8516793534108685,0.7547060591740732
100,22,0.9579999999999999,0.9253333333333335,0.9873873666240646,0.9474114549661561,0.457,0.408,0.2913333333333334,0.03275606477964201,0.44388172757385624,0.8456247961900368,0.7923526699541409
100,33,0.9513333333333334,0.883,0.9860277966740852,0.948301717063034,0.48533333333333334,0.41333333333333333,0.30233333333333334,0.0660386701008799,0.48751392478691286,0.8427430964839787,0.7239823561441017
