prior,descriptor,main_group_mean,matched_base_mean,standardized_mean_difference
P0.1,heavy_atoms,20.8,20.973333333333333,-0.024359923405269466
P0.1,molecular_weight,309.1744333333334,306.1128466666667,0.031651108778231025
P0.1,ring_count,2.16,2.16,0.0
P0.1,aromatic_rings,1.5466666666666666,1.56,-0.010638051430230257
P0.1,rotatable_bonds,4.266666666666667,4.113333333333333,0.06484167301748145
P0.1,smiles_length,37.333333333333336,36.99333333333333,0.026250891788338577
P1,heavy_atoms,20.948666666666668,21.104,-0.022164177032014714
P1,molecular_weight,316.1102886666667,312.4365866666667,0.03738437720020571
P1,ring_count,2.104,2.116,-0.009012001197003064
P1,aromatic_rings,1.456,1.4613333333333334,-0.004716864946558499
P1,rotatable_bonds,4.43,4.190666666666667,0.10243134593662075
P1,smiles_length,38.160666666666664,37.804,0.027225355157853903
P5,heavy_atoms,20.791333333333334,21.0264,-0.03414757902614724
P5,molecular_weight,313.7589550666668,309.55820213333334,0.04313459938778802
P5,ring_count,2.0593333333333335,2.122533333333333,-0.04951801567606696
P5,aromatic_rings,1.4313333333333333,1.4413333333333334,-0.00909761829762876
P5,rotatable_bonds,4.429866666666666,4.1696,0.11204163515280065
P5,smiles_length,38.08586666666667,37.625733333333336,0.03537226332367784
