prior,molecules,unique_smiles,main_group_fraction,B_fraction,P_fraction,Si_fraction,Al_fraction,Ge_fraction,B_and_P_or_N_fraction,unique_scaffolds,heavy_atoms_mean,molecular_weight_mean,ring_count_mean,aromatic_rings_mean,rotatable_bonds_mean,smiles_length_mean
P0,150000,150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83127,23.654286666666668,339.6783424533334,2.8217333333333334,2.0055533333333333,4.505606666666667,40.179053333333336
P0.1,150000,150000,0.001,0.00040666666666666667,0.00040666666666666667,0.00011333333333333333,5.333333333333333e-05,4.6666666666666665e-05,0.00014,83158,23.654113333333335,339.68140404,2.8217333333333334,2.00554,4.50576,40.17939333333333
P1,150000,150000,0.01,0.004026666666666666,0.00404,0.0011466666666666667,0.0005,0.0005,0.0012133333333333334,83278,23.652733333333334,339.71507947333333,2.8216133333333335,2.0055,4.508,40.18262
P5,150000,150000,0.05,0.020046666666666667,0.0202,0.005626666666666667,0.0025,0.0025,0.006233333333333333,83084,23.642533333333333,339.88838010000006,2.818573333333333,2.005053333333333,4.51862,40.20206
